,Temperature,Humidity,Voltage
0,18.95177778,37.53477778,2.65143
1,18.90168889,37.63988889,2.65143
2,18.8516,37.745,2.65143
3,18.8712,37.745,2.65143
4,18.8516,37.7107,2.65143
5,18.85486667,37.7107,2.65143
6,18.85813333,37.7107,2.65143
7,18.8614,37.7107,2.65143
8,18.832,37.7107,2.65143
9,18.832,37.719275,2.65143
10,18.832,37.72785,2.65143
11,18.832,37.736425,2.65143
12,18.832,37.745,2.65143
13,18.8222,37.745,2.65143
14,18.8271,37.745,2.65143
15,18.832,37.745,2.65143
16,18.832,37.7107,2.65143
17,18.832,37.7107,2.65143
18,18.81893333,37.79056667,2.65143
19,18.80586667,37.87043333,2.65143
20,18.7928,37.9503,2.65143
21,18.77646667,37.9389,2.65143
22,18.76013333,37.9275,2.65143
23,18.7438,37.9161,2.65143
24,18.7732,37.9503,2.65143
25,18.77646667,37.9161,2.65143
26,18.77973333,37.8819,2.65143
27,18.783,37.8477,2.65143
28,18.7928,37.7792,2.65143
29,18.7928,37.7792,2.65143
30,18.7928,37.7792,2.65143
31,18.7732,37.8134,2.65143
32,18.7536,37.9845,2.65143
33,18.734,38.0529,2.63964
34,18.734,38.0187,2.6455349999999997
35,18.734,37.9845,2.65143
36,18.734,37.9503,2.65143
37,18.734,37.9161,2.65143
38,18.734,37.8933,2.65143
39,18.734,37.8705,2.65143
40,18.734,37.8477,2.65143
41,18.7438,37.8477,2.65143
42,18.7536,37.8477,2.65143
43,18.7438,37.7792,2.65143
44,18.74576,37.7792,2.65143
45,18.74772,37.7792,2.65143
46,18.749679999999998,37.7792,2.65143
47,18.75164,37.7792,2.65143
48,18.7536,37.7792,2.65143
49,18.7536,37.7792,2.65143
50,18.7487,37.7792,2.65143
51,18.7438,37.7792,2.65143
52,18.7438,37.7792,2.65143
53,18.7438,37.7792,2.65143
54,18.7438,37.7792,2.65143
55,18.7438,37.7792,2.65143
56,18.7438,37.7792,2.65143
57,18.7389,37.7792,2.65143
58,18.734,37.7792,2.65143
59,18.73563333,37.7792,2.65143
60,18.73726667,37.7792,2.65143
61,18.7389,37.7792,2.65143
62,18.74053333,37.7792,2.65143
63,18.74216667,37.7792,2.65143
64,18.7438,37.7792,2.65143
65,18.7144,37.7792,2.65143
66,18.7193,37.81345,2.65143
67,18.7242,37.8477,2.65143
68,18.72093333,37.8477,2.65143
69,18.71766667,37.8477,2.65143
70,18.7144,37.8477,2.65143
71,18.71113333,37.8477,2.65143
72,18.70786667,37.8477,2.65143
73,18.7046,37.8477,2.65143
74,18.70215,37.8477,2.65143
75,18.6997,37.8477,2.65143
76,18.69725,37.8477,2.65143
77,18.6948,37.8477,2.65143
78,18.6948,37.8648,2.65143
79,18.6948,37.8819,2.65143
80,18.685,37.8819,2.65143
81,18.68255,37.89045,2.65143
82,18.6801,37.899,2.65143
83,18.67765,37.90755,2.65143
84,18.6752,37.9161,2.65143
85,18.6948,37.8819,2.65143
86,18.685,37.899,2.65143
87,18.6752,37.9161,2.65143
88,18.6752,37.9161,2.65143
89,18.6752,37.9161,2.65143
90,18.6752,37.9161,2.65143
91,18.6752,37.9161,2.65143
92,18.685,37.9161,2.65143
93,18.68255,37.9161,2.65143
94,18.6801,37.9161,2.65143
95,18.67765,37.9161,2.65143
96,18.6752,37.9161,2.65143
97,18.6654,37.9332,2.65143
98,18.6556,37.9503,2.65143
99,18.6556,37.9161,2.65143
100,18.6654,37.9503,2.65143
101,18.6654,37.9332,2.65143
102,18.6654,37.9161,2.65143
103,18.6654,37.9503,2.65143
104,18.656825,37.963125,2.65143
105,18.64825,37.97595,2.65143
106,18.639675,37.988775,2.65143
107,18.6311,38.0016,2.65143
108,18.622525,38.014425,2.65143
109,18.61395,38.02725,2.65143
110,18.605375,38.040075,2.65143
111,18.5968,38.0529,2.65143
112,18.5968,38.0529,2.657375
113,18.5968,38.0529,2.66332
114,18.594839999999998,38.0529,2.660942
115,18.592879999999997,38.0529,2.658564
116,18.59092,38.0529,2.656186
117,18.58896,38.0529,2.653808
118,18.587,38.0529,2.65143
119,18.5968,38.0871,2.65143
120,18.59026667,38.0985,2.65143
121,18.58373333,38.1099,2.65143
122,18.5772,38.1213,2.65143
123,18.5576,38.1213,2.65143
124,18.5576,38.1099,2.653411667
125,18.5576,38.0985,2.655393333
126,18.5576,38.0871,2.657375
127,18.5576,38.0757,2.659356667
128,18.5576,38.0643,2.6613383330000002
129,18.5576,38.0529,2.66332
130,18.5576,38.0871,2.65143
131,18.55433333,38.0985,2.655393333
132,18.55106667,38.1099,2.659356667
133,18.5478,38.1213,2.66332
134,18.538,38.1213,2.65143
135,18.53146667,38.1213,2.655393333
136,18.52493333,38.1213,2.659356667
137,18.5184,38.1213,2.66332
138,18.5184,38.1213,2.65143
139,18.5135,38.1213,2.65143
140,18.5086,38.1213,2.65143
141,18.5037,38.1213,2.65143
142,18.4988,38.1213,2.65143
143,18.50125,38.12985,2.65143
144,18.5037,38.1384,2.65143
145,18.50615,38.14695,2.65143
146,18.5086,38.1555,2.65143
147,18.4988,38.1555,2.65143
148,18.489,38.1555,2.65143
149,18.489,38.1384,2.65143
150,18.489,38.1213,2.65143
151,18.4792,38.1213,2.65143
152,18.4792,38.1213,2.65143
153,18.4792,38.1213,2.65143
154,18.4792,38.1213,2.65143
155,18.4792,38.1213,2.65143
156,18.47185,38.12985,2.65143
157,18.4645,38.1384,2.65143
158,18.45715,38.14695,2.65143
159,18.4498,38.1555,2.65143
160,18.4498,38.1897,2.65143
161,18.447,38.1897,2.65143
162,18.4442,38.1897,2.65143
163,18.4414,38.1897,2.65143
164,18.4386,38.1897,2.65143
165,18.4358,38.1897,2.65143
166,18.433,38.1897,2.65143
167,18.4302,38.1897,2.65143
168,18.44,38.1897,2.65143
169,18.4204,38.1897,2.65143
170,18.41795,38.1897,2.65143
171,18.4155,38.1897,2.65143
172,18.41305,38.1897,2.65143
173,18.4106,38.1897,2.65143
174,18.4204,38.1897,2.65143
175,18.41305,38.1897,2.65143
176,18.4057,38.1897,2.65143
177,18.39835,38.1897,2.65143
178,18.391,38.1897,2.65143
179,18.3812,38.2239,2.66332
180,18.3812,38.2239,2.65143
181,18.3714,38.258,2.65143
182,18.3714,38.249475,2.65143
183,18.3714,38.24095,2.65143
184,18.3714,38.232425,2.65143
185,18.3714,38.2239,2.65143
186,18.3812,38.258,2.65143
187,18.3812,38.2239,2.65143
188,18.3616,38.2239,2.65143
189,18.3616,38.2239,2.65143
190,18.3518,38.24095,2.65143
191,18.342,38.258,2.65143
192,18.3518,38.258,2.65143
193,18.34635556,38.26558889,2.65143
194,18.34091111,38.27317778,2.65143
195,18.33546667,38.28076667,2.65143
196,18.33002222,38.28835556,2.65143
197,18.32457778,38.29594444,2.65143
198,18.31913333,38.30353333,2.65143
199,18.31368889,38.31112222,2.65143
200,18.30824444,38.31871111,2.65143
201,18.3028,38.3263,2.65143
202,18.3126,38.3263,2.65143
203,18.3224,38.3263,2.65143
204,18.3028,38.3263,2.65143
205,18.2832,38.3263,2.65143
206,18.27666667,38.3377,2.65143
207,18.27013333,38.3491,2.65143
208,18.2636,38.3605,2.65143
209,18.2636,38.37755,2.65143
210,18.2636,38.3946,2.65143
211,18.2636,38.3946,2.65143
212,18.2636,38.3946,2.65143
